R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,uniqueNetworkLocation,country,source,major,,,,,,,,
3,4,3,1,1,4,1,3,5,5,4,3,4,5,4,3,5,4,1,2,4,5,2,4,3,5,5,4,5,5,5,5,2,1,4,1,2,2,1,3,1,3,1,1,1,3,1,1,3,110,109,5,4,2,3,2,7,5,6,6,5,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,14,1,7,1,1,2,1,1,1,US,2,,,,,,,,,
1,1,2,4,1,2,2,1,5,5,5,4,4,4,4,4,2,1,4,2,1,3,4,2,2,3,4,3,4,2,3,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,1,25,236,367,5,5,7,4,7,6,6,4,6,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,1,1,29,1,7,3,4,1,2,3,1,US,1,Nursing,,,,,,,,
2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,1,5,3,5,5,4,4,1,3,3,5,1,4,4,3,1,3,2,2,1,2,4,1,29,242,294,6,4,3,7,5,1,7,1,5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,2,1,23,1,7,1,4,2,1,1,1,US,1,,,,,,,,,
3,1,1,2,2,2,2,2,4,1,2,4,3,2,3,2,5,2,4,5,1,4,4,2,4,2,3,3,2,1,3,2,5,4,3,2,3,3,2,3,3,2,3,3,2,2,2,2,6,466,414,5,2,7,7,5,7,6,2,3,6,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,3,2,2,17,1,0,1,1,2,1,1,1,CN,0,,,,,,,,,
4,1,1,2,1,1,1,2,5,5,5,3,5,5,5,3,3,5,5,5,5,5,1,5,5,4,4,4,5,5,5,5,2,3,2,3,2,4,2,2,4,2,2,4,5,5,2,2,576,186,209,6,7,1,7,4,7,7,5,4,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,18,1,4,3,1,2,1,4,1,PH,0,education,,,,,,,,
3,5,1,3,1,5,3,4,4,5,4,4,4,3,3,5,5,5,4,5,5,5,3,5,3,5,5,4,5,4,4,4,3,1,1,1,2,1,1,3,3,2,1,1,3,3,1,3,1014,269,189,2,2,3,5,3,6,7,5,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,2,28,1,2,1,5,1,1,2,1,IN,2,Literature,,,,,,,,
1,4,1,4,1,4,1,2,4,4,1,1,2,4,3,3,1,4,1,2,4,4,1,4,4,4,1,3,1,2,3,2,2,1,3,1,3,2,1,3,4,2,2,2,4,3,3,1,91,302,210,1,2,5,5,3,6,2,4,7,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,3,2,1,1,20,1,2,1,1,2,1,3,2,US,0,Math,,,,,,,,
5,1,2,2,2,1,2,1,4,4,4,4,5,4,5,2,3,4,4,3,3,4,2,3,4,3,4,4,4,4,5,3,4,3,3,3,4,3,3,2,2,4,2,2,4,2,2,2,26,200,229,7,6,5,4,6,3,7,5,5,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,3,1,2,2,17,1,7,3,1,2,1,0,1,PH,0,mathematics,and,science,,,,,,
1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,3,2,3,1,1,1,1,1,1,1,1,3,1,4,3,1,2,2,2,4,115,294,6,2,6,5,6,6,5,4,5,6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,31,1,4,1,1,1,1,3,1,US,0,family,resource,management,,,,,,
4,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,4,3,4,3,2,4,3,4,4,3,4,4,4,4,2,3,3,3,3,4,3,3,4,4,3,4,4,4,3,3,28,216,433,2,2,7,2,7,6,6,2,6,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,3,2,1,19,1,10,1,1,2,1,6,1,MY,1,Counselling,,,,,,,,
1,1,4,2,1,1,1,1,3,3,1,4,3,3,3,2,4,5,2,4,5,2,2,3,5,4,4,4,4,2,4,2,3,2,5,4,5,4,3,2,1,1,1,1,1,3,1,1,42,190,150,6,5,7,1,7,5,5,1,7,2,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,4,2,2,1,41,1,1,1,4,1,1,3,1,AU,0,business,,,,,,,,
1,4,2,2,3,3,3,2,4,3,2,4,4,3,3,2,3,4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,3,2,2,2,2,2,3,3,16,202,146,6,5,6,6,3,2,5,4,4,2,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,3,2,1,17,1,1,1,5,2,1,5,1,AU,0,,,,,,,,,
5,3,3,3,3,3,3,3,5,5,4,3,3,3,3,3,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,3,5,4,4,3,4,5,5,31,388,351,6,3,7,5,7,1,7,1,6,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,23,1,10,1,3,1,1,3,2,KE,0,Communication,,,,,,,,
4,2,2,3,1,3,3,2,1,1,1,2,1,1,1,1,4,5,2,1,4,3,4,3,3,5,4,2,5,5,5,3,3,3,5,2,5,4,5,4,4,4,5,3,4,4,5,3,6,315,185,7,2,2,2,6,1,5,3,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,16,1,2,1,4,2,1,3,1,PL,0,,,,,,,,,
3,5,4,5,4,5,3,5,5,4,3,4,4,3,5,5,3,3,4,4,3,3,4,4,3,3,4,2,4,3,2,3,2,2,2,4,3,2,4,4,4,4,4,3,4,4,4,4,21,241,218,6,4,5,2,4,3,6,4,5,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,17,1,10,0,1,2,1,3,2,MY,0,,,,,,,,,
4,5,4,5,5,5,5,3,3,4,2,3,2,3,2,3,5,4,4,4,2,2,3,4,4,3,4,5,3,4,3,3,2,4,3,4,3,4,3,3,4,4,5,5,5,5,4,4,9,284,290,5,2,5,6,7,4,5,3,5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,2,1,2,23,1,7,1,0,2,1,2,2,KE,0,Information,Technology,,,,,,,
3,3,2,3,2,3,3,2,4,4,3,2,2,4,2,2,2,2,4,2,3,4,3,4,3,2,4,2,4,3,4,2,3,2,2,3,2,3,3,5,4,3,3,2,2,2,2,2,3,284,165,2,2,4,3,6,7,6,7,6,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,16,1,12,2,1,2,1,2,1,SG,2,,,,,,,,,
4,2,2,4,2,4,4,3,5,4,4,3,3,3,4,4,2,2,5,3,4,4,4,5,1,3,2,3,2,1,2,2,1,2,3,2,4,3,2,3,1,4,4,2,5,4,4,4,11,155,129,3,6,7,6,5,5,6,2,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,2,3,2,2,20,1,4,2,4,2,1,2,1,FR,2,languages,,,,,,,,
